UID,KEY,DEP,ARR,CLASS,CAPACITY,DEP_TIME,ARR_TIME
65,ZZ20240602AMDHYD2223,AMD,HYD,BC,85,1717325520,1717356600
66,ZZ20240602AMDHYD2223,AMD,HYD,PC,127,1717325520,1717356600
67,ZZ20240602AMDHYD2223,AMD,HYD,EC,170,1717325520,1717356600
68,ZZ20240603AMDHYD2223,AMD,HYD,FC,42,1717411920,1717443000
69,ZZ20240603AMDHYD2223,AMD,HYD,BC,85,1717411920,1717443000
70,ZZ20240603AMDHYD2223,AMD,HYD,PC,127,1717411920,1717443000
71,ZZ20240603AMDHYD2223,AMD,HYD,EC,170,1717411920,1717443000
72,ZZ20240604AMDHYD2223,AMD,HYD,FC,42,1717498320,1717529400
73,ZZ20240604AMDHYD2223,AMD,HYD,BC,85,1717498320,1717529400
74,ZZ20240604AMDHYD2223,AMD,HYD,PC,127,1717498320,1717529400
75,ZZ20240604AMDHYD2223,AMD,HYD,EC,170,1717498320,1717529400
76,ZZ20240605AMDHYD2223,AMD,HYD,FC,42,1717584720,1717615800
77,ZZ20240605AMDHYD2223,AMD,HYD,BC,85,1717584720,1717615800
78,ZZ20240605AMDHYD2223,AMD,HYD,PC,127,1717584720,1717615800
79,ZZ20240605AMDHYD2223,AMD,HYD,EC,170,1717584720,1717615800
80,ZZ20240609AMDHYD2223,AMD,HYD,FC,42,1717930320,1717961400
81,ZZ20240609AMDHYD2223,AMD,HYD,BC,85,1717930320,1717961400
82,ZZ20240609AMDHYD2223,AMD,HYD,PC,127,1717930320,1717961400
83,ZZ20240609AMDHYD2223,AMD,HYD,EC,170,1717930320,1717961400
84,ZZ20240610AMDHYD2223,AMD,HYD,FC,42,1718016720,1718047800
85,ZZ20240610AMDHYD2223,AMD,HYD,BC,85,1718016720,1718047800
86,ZZ20240610AMDHYD2223,AMD,HYD,PC,127,1718016720,1718047800
87,ZZ20240610AMDHYD2223,AMD,HYD,EC,170,1718016720,1718047800
88,ZZ20240611AMDHYD2223,AMD,HYD,FC,42,1718103120,1718134200
89,ZZ20240611AMDHYD2223,AMD,HYD,BC,85,1718103120,1718134200
90,ZZ20240611AMDHYD2223,AMD,HYD,PC,127,1718103120,1718134200
91,ZZ20240611AMDHYD2223,AMD,HYD,EC,170,1718103120,1718134200
92,ZZ20240612AMDHYD2223,AMD,HYD,FC,42,1718189520,1718220600
93,ZZ20240612AMDHYD2223,AMD,HYD,BC,85,1718189520,1718220600
94,ZZ20240612AMDHYD2223,AMD,HYD,PC,127,1718189520,1718220600
95,ZZ20240612AMDHYD2223,AMD,HYD,EC,170,1718189520,1718220600
96,ZZ20240616AMDHYD2223,AMD,HYD,FC,42,1718535120,1718566200
97,ZZ20240616AMDHYD2223,AMD,HYD,BC,85,1718535120,1718566200
98,ZZ20240616AMDHYD2223,AMD,HYD,PC,127,1718535120,1718566200
99,ZZ20240616AMDHYD2223,AMD,HYD,EC,170,1718535120,1718566200
100,ZZ20240617AMDHYD2223,AMD,HYD,FC,42,1718621520,1718652600
101,ZZ20240617AMDHYD2223,AMD,HYD,BC,85,1718621520,1718652600
102,ZZ20240617AMDHYD2223,AMD,HYD,PC,127,1718621520,1718652600
103,ZZ20240617AMDHYD2223,AMD,HYD,EC,170,1718621520,1718652600
104,ZZ20240407HYDAMD3723,HYD,AMD,FC,18,1712522400,1712579040
105,ZZ20240407HYDAMD3723,HYD,AMD,BC,36,1712522400,1712579040
106,ZZ20240407HYDAMD3723,HYD,AMD,PC,54,1712522400,1712579040
107,ZZ20240407HYDAMD3723,HYD,AMD,EC,72,1712522400,1712579040
108,ZZ20240410HYDAMD3723,HYD,AMD,FC,18,1712781600,1712838240
109,ZZ20240410HYDAMD3723,HYD,AMD,BC,36,1712781600,1712838240
110,ZZ20240410HYDAMD3723,HYD,AMD,PC,54,1712781600,1712838240
111,ZZ20240410HYDAMD3723,HYD,AMD,EC,72,1712781600,1712838240
112,ZZ20240411HYDAMD3723,HYD,AMD,FC,18,1712868000,1712924640
113,ZZ20240411HYDAMD3723,HYD,AMD,BC,36,1712868000,1712924640
114,ZZ20240411HYDAMD3723,HYD,AMD,PC,54,1712868000,1712924640
115,ZZ20240411HYDAMD3723,HYD,AMD,EC,72,1712868000,1712924640
116,ZZ20240413HYDAMD3723,HYD,AMD,FC,18,1713040800,1713097440
117,ZZ20240413HYDAMD3723,HYD,AMD,BC,36,1713040800,1713097440
118,ZZ20240413HYDAMD3723,HYD,AMD,PC,54,1713040800,1713097440
119,ZZ20240413HYDAMD3723,HYD,AMD,EC,72,1713040800,1713097440
120,ZZ20240414HYDAMD3723,HYD,AMD,FC,18,1713127200,1713183840
121,ZZ20240414HYDAMD3723,HYD,AMD,BC,36,1713127200,1713183840
122,ZZ20240414HYDAMD3723,HYD,AMD,PC,54,1713127200,1713183840
123,ZZ20240414HYDAMD3723,HYD,AMD,EC,72,1713127200,1713183840
124,ZZ20240417HYDAMD3723,HYD,AMD,FC,18,1713386400,1713443040
125,ZZ20240417HYDAMD3723,HYD,AMD,BC,36,1713386400,1713443040
126,ZZ20240417HYDAMD3723,HYD,AMD,PC,54,1713386400,1713443040
127,ZZ20240417HYDAMD3723,HYD,AMD,EC,72,1713386400,1713443040
128,ZZ20240418HYDAMD3723,HYD,AMD,FC,18,1713472800,1713529440
129,ZZ20240418HYDAMD3723,HYD,AMD,BC,36,1713472800,1713529440
130,ZZ20240418HYDAMD3723,HYD,AMD,PC,54,1713472800,1713529440
131,ZZ20240418HYDAMD3723,HYD,AMD,EC,72,1713472800,1713529440
132,ZZ20240420HYDAMD3723,HYD,AMD,FC,18,1713645600,1713702240
133,ZZ20240420HYDAMD3723,HYD,AMD,BC,36,1713645600,1713702240
134,ZZ20240420HYDAMD3723,HYD,AMD,PC,54,1713645600,1713702240
135,ZZ20240420HYDAMD3723,HYD,AMD,EC,72,1713645600,1713702240
136,ZZ20240421HYDAMD3723,HYD,AMD,FC,18,1713732000,1713788640
137,ZZ20240421HYDAMD3723,HYD,AMD,BC,36,1713732000,1713788640
138,ZZ20240421HYDAMD3723,HYD,AMD,PC,54,1713732000,1713788640
139,ZZ20240421HYDAMD3723,HYD,AMD,EC,72,1713732000,1713788640
140,ZZ20240424HYDAMD3723,HYD,AMD,FC,18,1713991200,1714047840
141,ZZ20240424HYDAMD3723,HYD,AMD,BC,36,1713991200,1714047840
142,ZZ20240424HYDAMD3723,HYD,AMD,PC,54,1713991200,1714047840
143,ZZ20240424HYDAMD3723,HYD,AMD,EC,72,1713991200,1714047840
144,ZZ20240425HYDAMD3723,HYD,AMD,FC,18,1714077600,1714134240
145,ZZ20240425HYDAMD3723,HYD,AMD,BC,36,1714077600,1714134240
146,ZZ20240425HYDAMD3723,HYD,AMD,PC,54,1714077600,1714134240
147,ZZ20240425HYDAMD3723,HYD,AMD,EC,72,1714077600,1714134240
148,ZZ20240427HYDAMD3723,HYD,AMD,FC,18,1714250400,1714307040
149,ZZ20240427HYDAMD3723,HYD,AMD,BC,36,1714250400,1714307040
150,ZZ20240427HYDAMD3723,HYD,AMD,PC,54,1714250400,1714307040
151,ZZ20240427HYDAMD3723,HYD,AMD,EC,72,1714250400,1714307040
152,ZZ20240428HYDAMD3723,HYD,AMD,FC,18,1714336800,1714393440
153,ZZ20240428HYDAMD3723,HYD,AMD,BC,36,1714336800,1714393440
154,ZZ20240428HYDAMD3723,HYD,AMD,PC,54,1714336800,1714393440
155,ZZ20240428HYDAMD3723,HYD,AMD,EC,72,1714336800,1714393440
156,ZZ20240501HYDAMD3723,HYD,AMD,FC,18,1714596000,1714652640
157,ZZ20240501HYDAMD3723,HYD,AMD,BC,36,1714596000,1714652640
158,ZZ20240501HYDAMD3723,HYD,AMD,PC,54,1714596000,1714652640
159,ZZ20240501HYDAMD3723,HYD,AMD,EC,72,1714596000,1714652640
160,ZZ20240502HYDAMD3723,HYD,AMD,FC,18,1714682400,1714739040
161,ZZ20240502HYDAMD3723,HYD,AMD,BC,36,1714682400,1714739040
162,ZZ20240502HYDAMD3723,HYD,AMD,PC,54,1714682400,1714739040
163,ZZ20240502HYDAMD3723,HYD,AMD,EC,72,1714682400,1714739040
164,ZZ20240504HYDAMD3723,HYD,AMD,FC,18,1714855200,1714911840
165,ZZ20240504HYDAMD3723,HYD,AMD,BC,36,1714855200,1714911840
166,ZZ20240504HYDAMD3723,HYD,AMD,PC,54,1714855200,1714911840
167,ZZ20240504HYDAMD3723,HYD,AMD,EC,72,1714855200,1714911840
168,ZZ20240505HYDAMD3723,HYD,AMD,FC,18,1714941600,1714998240
169,ZZ20240505HYDAMD3723,HYD,AMD,BC,36,1714941600,1714998240
170,ZZ20240505HYDAMD3723,HYD,AMD,PC,54,1714941600,1714998240
171,ZZ20240505HYDAMD3723,HYD,AMD,EC,72,1714941600,1714998240
172,ZZ20240508HYDAMD3723,HYD,AMD,FC,18,1715200800,1715257440
173,ZZ20240508HYDAMD3723,HYD,AMD,BC,36,1715200800,1715257440
174,ZZ20240508HYDAMD3723,HYD,AMD,PC,54,1715200800,1715257440
175,ZZ20240508HYDAMD3723,HYD,AMD,EC,72,1715200800,1715257440
176,ZZ20240509HYDAMD3723,HYD,AMD,FC,18,1715287200,1715343840
177,ZZ20240509HYDAMD3723,HYD,AMD,BC,36,1715287200,1715343840
178,ZZ20240509HYDAMD3723,HYD,AMD,PC,54,1715287200,1715343840
179,ZZ20240509HYDAMD3723,HYD,AMD,EC,72,1715287200,1715343840
180,ZZ20240511HYDAMD3723,HYD,AMD,FC,18,1715460000,1715516640
181,ZZ20240511HYDAMD3723,HYD,AMD,BC,36,1715460000,1715516640
182,ZZ20240511HYDAMD3723,HYD,AMD,PC,54,1715460000,1715516640
183,ZZ20240511HYDAMD3723,HYD,AMD,EC,72,1715460000,1715516640
184,ZZ20240512HYDAMD3723,HYD,AMD,FC,18,1715546400,1715603040
185,ZZ20240512HYDAMD3723,HYD,AMD,BC,36,1715546400,1715603040
186,ZZ20240512HYDAMD3723,HYD,AMD,PC,54,1715546400,1715603040
187,ZZ20240512HYDAMD3723,HYD,AMD,EC,72,1715546400,1715603040
188,ZZ20240515HYDAMD3723,HYD,AMD,FC,18,1715805600,1715862240
189,ZZ20240515HYDAMD3723,HYD,AMD,BC,36,1715805600,1715862240
190,ZZ20240515HYDAMD3723,HYD,AMD,PC,54,1715805600,1715862240
191,ZZ20240515HYDAMD3723,HYD,AMD,EC,72,1715805600,1715862240
192,ZZ20240516HYDAMD3723,HYD,AMD,FC,18,1715892000,1715948640
193,ZZ20240516HYDAMD3723,HYD,AMD,BC,36,1715892000,1715948640
194,ZZ20240516HYDAMD3723,HYD,AMD,PC,54,1715892000,1715948640
195,ZZ20240516HYDAMD3723,HYD,AMD,EC,72,1715892000,1715948640
196,ZZ20240518HYDAMD3723,HYD,AMD,FC,18,1716064800,1716121440
197,ZZ20240518HYDAMD3723,HYD,AMD,BC,36,1716064800,1716121440
198,ZZ20240518HYDAMD3723,HYD,AMD,PC,54,1716064800,1716121440
199,ZZ20240518HYDAMD3723,HYD,AMD,EC,72,1716064800,1716121440
200,ZZ20240519HYDAMD3723,HYD,AMD,FC,18,1716151200,1716207840
201,ZZ20240519HYDAMD3723,HYD,AMD,BC,36,1716151200,1716207840
202,ZZ20240519HYDAMD3723,HYD,AMD,PC,54,1716151200,1716207840
203,ZZ20240519HYDAMD3723,HYD,AMD,EC,72,1716151200,1716207840
204,ZZ20240522HYDAMD3723,HYD,AMD,FC,18,1716410400,1716467040
205,ZZ20240522HYDAMD3723,HYD,AMD,BC,36,1716410400,1716467040
206,ZZ20240522HYDAMD3723,HYD,AMD,PC,54,1716410400,1716467040
207,ZZ20240522HYDAMD3723,HYD,AMD,EC,72,1716410400,1716467040
208,ZZ20240419AMDMAA4012,AMD,MAA,FC,20,1713553200,1713564480
209,ZZ20240419AMDMAA4012,AMD,MAA,BC,41,1713553200,1713564480
210,ZZ20240419AMDMAA4012,AMD,MAA,PC,62,1713553200,1713564480
211,ZZ20240419AMDMAA4012,AMD,MAA,EC,83,1713553200,1713564480
212,ZZ20240420AMDMAA4012,AMD,MAA,FC,20,1713639600,1713650880
213,ZZ20240420AMDMAA4012,AMD,MAA,BC,41,1713639600,1713650880
214,ZZ20240420AMDMAA4012,AMD,MAA,PC,62,1713639600,1713650880
215,ZZ20240420AMDMAA4012,AMD,MAA,EC,83,1713639600,1713650880
216,ZZ20240421AMDMAA4012,AMD,MAA,FC,20,1713726000,1713737280
217,ZZ20240421AMDMAA4012,AMD,MAA,BC,41,1713726000,1713737280
218,ZZ20240421AMDMAA4012,AMD,MAA,PC,62,1713726000,1713737280
219,ZZ20240421AMDMAA4012,AMD,MAA,EC,83,1713726000,1713737280
220,ZZ20240424AMDMAA4012,AMD,MAA,FC,20,1713985200,1713996480
221,ZZ20240424AMDMAA4012,AMD,MAA,BC,41,1713985200,1713996480
222,ZZ20240424AMDMAA4012,AMD,MAA,PC,62,1713985200,1713996480
223,ZZ20240424AMDMAA4012,AMD,MAA,EC,83,1713985200,1713996480
224,ZZ20240426AMDMAA4012,AMD,MAA,FC,20,1714158000,1714169280
225,ZZ20240426AMDMAA4012,AMD,MAA,BC,41,1714158000,1714169280
226,ZZ20240426AMDMAA4012,AMD,MAA,PC,62,1714158000,1714169280
227,ZZ20240426AMDMAA4012,AMD,MAA,EC,83,1714158000,1714169280
228,ZZ20240427AMDMAA4012,AMD,MAA,FC,20,1714244400,1714255680
229,ZZ20240427AMDMAA4012,AMD,MAA,BC,41,1714244400,1714255680
230,ZZ20240427AMDMAA4012,AMD,MAA,PC,62,1714244400,1714255680
231,ZZ20240427AMDMAA4012,AMD,MAA,EC,83,1714244400,1714255680
232,ZZ20240428AMDMAA4012,AMD,MAA,FC,20,1714330800,1714342080
233,ZZ20240428AMDMAA4012,AMD,MAA,BC,41,1714330800,1714342080
234,ZZ20240428AMDMAA4012,AMD,MAA,PC,62,1714330800,1714342080
235,ZZ20240428AMDMAA4012,AMD,MAA,EC,83,1714330800,1714342080
236,ZZ20240501AMDMAA4012,AMD,MAA,FC,20,1714590000,1714601280
237,ZZ20240501AMDMAA4012,AMD,MAA,BC,41,1714590000,1714601280
238,ZZ20240501AMDMAA4012,AMD,MAA,PC,62,1714590000,1714601280
239,ZZ20240501AMDMAA4012,AMD,MAA,EC,83,1714590000,1714601280
240,ZZ20240503AMDMAA4012,AMD,MAA,FC,20,1714762800,1714774080
241,ZZ20240503AMDMAA4012,AMD,MAA,BC,41,1714762800,1714774080
242,ZZ20240503AMDMAA4012,AMD,MAA,PC,62,1714762800,1714774080
243,ZZ20240503AMDMAA4012,AMD,MAA,EC,83,1714762800,1714774080
244,ZZ20240504AMDMAA4012,AMD,MAA,FC,20,1714849200,1714860480
245,ZZ20240504AMDMAA4012,AMD,MAA,BC,41,1714849200,1714860480
246,ZZ20240504AMDMAA4012,AMD,MAA,PC,62,1714849200,1714860480
247,ZZ20240504AMDMAA4012,AMD,MAA,EC,83,1714849200,1714860480
248,ZZ20240505AMDMAA4012,AMD,MAA,FC,20,1714935600,1714946880
249,ZZ20240505AMDMAA4012,AMD,MAA,BC,41,1714935600,1714946880
250,ZZ20240505AMDMAA4012,AMD,MAA,PC,62,1714935600,1714946880
251,ZZ20240505AMDMAA4012,AMD,MAA,EC,83,1714935600,1714946880
252,ZZ20240508AMDMAA4012,AMD,MAA,FC,20,1715194800,1715206080
253,ZZ20240508AMDMAA4012,AMD,MAA,BC,41,1715194800,1715206080
254,ZZ20240508AMDMAA4012,AMD,MAA,PC,62,1715194800,1715206080
255,ZZ20240508AMDMAA4012,AMD,MAA,EC,83,1715194800,1715206080
256,ZZ20240510AMDMAA4012,AMD,MAA,FC,20,1715367600,1715378880
257,ZZ20240510AMDMAA4012,AMD,MAA,BC,41,1715367600,1715378880
258,ZZ20240510AMDMAA4012,AMD,MAA,PC,62,1715367600,1715378880
259,ZZ20240510AMDMAA4012,AMD,MAA,EC,83,1715367600,1715378880
260,ZZ20240511AMDMAA4012,AMD,MAA,FC,20,1715454000,1715465280
261,ZZ20240511AMDMAA4012,AMD,MAA,BC,41,1715454000,1715465280
262,ZZ20240511AMDMAA4012,AMD,MAA,PC,62,1715454000,1715465280
263,ZZ20240511AMDMAA4012,AMD,MAA,EC,83,1715454000,1715465280
264,ZZ20240512AMDMAA4012,AMD,MAA,FC,20,1715540400,1715551680
265,ZZ20240512AMDMAA4012,AMD,MAA,BC,41,1715540400,1715551680
266,ZZ20240512AMDMAA4012,AMD,MAA,PC,62,1715540400,1715551680
267,ZZ20240512AMDMAA4012,AMD,MAA,EC,83,1715540400,1715551680
268,ZZ20240515AMDMAA4012,AMD,MAA,FC,20,1715799600,1715810880
269,ZZ20240515AMDMAA4012,AMD,MAA,BC,41,1715799600,1715810880
270,ZZ20240515AMDMAA4012,AMD,MAA,PC,62,1715799600,1715810880
271,ZZ20240515AMDMAA4012,AMD,MAA,EC,83,1715799600,1715810880
272,ZZ20240517AMDMAA4012,AMD,MAA,FC,20,1715972400,1715983680
273,ZZ20240517AMDMAA4012,AMD,MAA,BC,41,1715972400,1715983680
274,ZZ20240517AMDMAA4012,AMD,MAA,PC,62,1715972400,1715983680
275,ZZ20240517AMDMAA4012,AMD,MAA,EC,83,1715972400,1715983680
276,ZZ20240518AMDMAA4012,AMD,MAA,FC,20,1716058800,1716070080
277,ZZ20240518AMDMAA4012,AMD,MAA,BC,41,1716058800,1716070080
278,ZZ20240518AMDMAA4012,AMD,MAA,PC,62,1716058800,1716070080
279,ZZ20240518AMDMAA4012,AMD,MAA,EC,83,1716058800,1716070080
280,ZZ20240519AMDMAA4012,AMD,MAA,FC,20,1716145200,1716156480
281,ZZ20240519AMDMAA4012,AMD,MAA,BC,41,1716145200,1716156480
282,ZZ20240519AMDMAA4012,AMD,MAA,PC,62,1716145200,1716156480
283,ZZ20240519AMDMAA4012,AMD,MAA,EC,83,1716145200,1716156480
284,ZZ20240522AMDMAA4012,AMD,MAA,FC,20,1716404400,1716415680
285,ZZ20240522AMDMAA4012,AMD,MAA,BC,41,1716404400,1716415680
286,ZZ20240522AMDMAA4012,AMD,MAA,PC,62,1716404400,1716415680
287,ZZ20240522AMDMAA4012,AMD,MAA,EC,83,1716404400,1716415680
288,ZZ20240524AMDMAA4012,AMD,MAA,FC,20,1716577200,1716588480
289,ZZ20240524AMDMAA4012,AMD,MAA,BC,41,1716577200,1716588480
290,ZZ20240524AMDMAA4012,AMD,MAA,PC,62,1716577200,1716588480
291,ZZ20240524AMDMAA4012,AMD,MAA,EC,83,1716577200,1716588480
292,ZZ20240525AMDMAA4012,AMD,MAA,FC,20,1716663600,1716674880
293,ZZ20240525AMDMAA4012,AMD,MAA,BC,41,1716663600,1716674880
294,ZZ20240525AMDMAA4012,AMD,MAA,PC,62,1716663600,1716674880
295,ZZ20240525AMDMAA4012,AMD,MAA,EC,83,1716663600,1716674880
296,ZZ20240526AMDMAA4012,AMD,MAA,FC,20,1716750000,1716761280
297,ZZ20240526AMDMAA4012,AMD,MAA,BC,41,1716750000,1716761280
298,ZZ20240526AMDMAA4012,AMD,MAA,PC,62,1716750000,1716761280
299,ZZ20240526AMDMAA4012,AMD,MAA,EC,83,1716750000,1716761280
300,ZZ20240529AMDMAA4012,AMD,MAA,FC,20,1717009200,1717020480
301,ZZ20240529AMDMAA4012,AMD,MAA,BC,41,1717009200,1717020480
302,ZZ20240529AMDMAA4012,AMD,MAA,PC,62,1717009200,1717020480
303,ZZ20240529AMDMAA4012,AMD,MAA,EC,83,1717009200,1717020480
304,ZZ20240531AMDMAA4012,AMD,MAA,FC,20,1717182000,1717193280
305,ZZ20240531AMDMAA4012,AMD,MAA,BC,41,1717182000,1717193280
306,ZZ20240531AMDMAA4012,AMD,MAA,PC,62,1717182000,1717193280
307,ZZ20240531AMDMAA4012,AMD,MAA,EC,83,1717182000,1717193280
308,ZZ20240601AMDMAA4012,AMD,MAA,FC,20,1717268400,1717279680
309,ZZ20240601AMDMAA4012,AMD,MAA,BC,41,1717268400,1717279680
310,ZZ20240601AMDMAA4012,AMD,MAA,PC,62,1717268400,1717279680
311,ZZ20240601AMDMAA4012,AMD,MAA,EC,83,1717268400,1717279680
312,ZZ20240602AMDMAA4012,AMD,MAA,FC,20,1717354800,1717366080
313,ZZ20240602AMDMAA4012,AMD,MAA,BC,41,1717354800,1717366080
314,ZZ20240602AMDMAA4012,AMD,MAA,PC,62,1717354800,1717366080
315,ZZ20240602AMDMAA4012,AMD,MAA,EC,83,1717354800,1717366080
316,ZZ20240513DELAMD2167,DEL,AMD,FC,10,1715641860,1715647320
317,ZZ20240513DELAMD2167,DEL,AMD,BC,20,1715641860,1715647320
318,ZZ20240513DELAMD2167,DEL,AMD,PC,30,1715641860,1715647320
319,ZZ20240513DELAMD2167,DEL,AMD,EC,40,1715641860,1715647320
320,ZZ20240516DELAMD2167,DEL,AMD,FC,10,1715901060,1715906520
321,ZZ20240516DELAMD2167,DEL,AMD,BC,20,1715901060,1715906520
322,ZZ20240516DELAMD2167,DEL,AMD,PC,30,1715901060,1715906520
323,ZZ20240516DELAMD2167,DEL,AMD,EC,40,1715901060,1715906520
324,ZZ20240517DELAMD2167,DEL,AMD,FC,10,1715987460,1715992920
325,ZZ20240517DELAMD2167,DEL,AMD,BC,20,1715987460,1715992920
326,ZZ20240517DELAMD2167,DEL,AMD,PC,30,1715987460,1715992920
327,ZZ20240517DELAMD2167,DEL,AMD,EC,40,1715987460,1715992920
328,ZZ20240520DELAMD2167,DEL,AMD,FC,10,1716246660,1716252120
329,ZZ20240520DELAMD2167,DEL,AMD,BC,20,1716246660,1716252120
330,ZZ20240520DELAMD2167,DEL,AMD,PC,30,1716246660,1716252120
331,ZZ20240520DELAMD2167,DEL,AMD,EC,40,1716246660,1716252120
332,ZZ20240523DELAMD2167,DEL,AMD,FC,10,1716505860,1716511320
333,ZZ20240523DELAMD2167,DEL,AMD,BC,20,1716505860,1716511320
334,ZZ20240523DELAMD2167,DEL,AMD,PC,30,1716505860,1716511320
335,ZZ20240523DELAMD2167,DEL,AMD,EC,40,1716505860,1716511320
336,ZZ20240524DELAMD2167,DEL,AMD,FC,10,1716592260,1716597720
337,ZZ20240524DELAMD2167,DEL,AMD,BC,20,1716592260,1716597720
338,ZZ20240524DELAMD2167,DEL,AMD,PC,30,1716592260,1716597720
