IDX,PNR,KEY,CNT,SCORE,FK,UID
294,SIDZ36,ZZ20240516MAACJB2120,3,800,0,5493
295,LUDE98,ZZ20240406CCUHYD3723,3,800,0,1485
296,LUDE98,ZZ20240421HYDIDR4122,3,800,0,5341
297,LUDE98,ZZ20240423IDRHYD2795,3,800,0,6245
298,WFBU17,ZZ20240406CCUHYD3723,4,1300,0,1485
299,WFBU17,ZZ20240421HYDIDR4122,4,1300,0,5341
300,WFBU17,ZZ20240423IDRHYD2795,4,800,0,6245
301,BUSG55,ZZ20240406CCUHYD3723,4,800,0,1485
302,BUSG55,ZZ20240409HYDCJB2880,4,800,0,6129
303,BUSG55,ZZ20240505CJBHYD2679,4,800,0,7173
304,GABY97,ZZ20240417CCUBLR3294,1,800,1,1033
305,JCLI11,ZZ20240417CCUBLR3294,1,800,1,1033
306,JAHD98,ZZ20240406CCUHYD3723,1,800,1,1485
307,JAHD98,ZZ20240507HYDBLR2887,1,800,1,1621
308,GIJX61,ZZ20240513CCUMAA4688,5,600,0,2838
309,GIJX61,ZZ20240514MAATRV2008,5,600,0,5134
310,FFFR68,ZZ20240423CCUBOM3274,4,1100,0,2522
311,FFFR68,ZZ20240505BOMCCU3779,4,1100,0,4286
312,FFFR68,ZZ20240506CCUBLR3294,4,600,0,1086
313,OKCK18,ZZ20240417CCUBLR3294,1,600,1,1034
314,MKUL48,ZZ20240406CCUHYD3723,1,600,1,1486
315,MKUL48,ZZ20240507HYDBLR2887,1,600,1,1622
316,HGNG43,ZZ20240406CCUHYD3723,8,1100,0,1486
317,HGNG43,ZZ20240407HYDAMD3723,8,600,0,106
318,HGNG43,ZZ20240412AMDBLR3041,8,600,0,4730
319,BDXN81,ZZ20240406CCUHYD3723,6,600,0,1486
320,BDXN81,ZZ20240421HYDIDR4122,6,600,0,5342
321,BDXN81,ZZ20240423IDRHYD2795,6,600,0,6246
322,QSZC10,ZZ20240406CCUHYD3723,6,1100,0,1486
323,QSZC10,ZZ20240407HYDAMD3723,6,600,0,106
324,QSZC10,ZZ20240412AMDBLR3041,6,600,0,4730
325,TUZH52,ZZ20240513CCUMAA4688,4,500,0,2839
326,TUZH52,ZZ20240514MAACCU4647,4,500,0,971
327,TUZH52,ZZ20240515CCUBLR3294,4,1000,0,1115
328,DQWV46,ZZ20240423CCUBOM3274,3,500,0,2523
329,DQWV46,ZZ20240424BOMBLR3556,3,500,0,2059
330,CIUA69,ZZ20240513CCUMAA4688,6,500,0,2839
331,CIUA69,ZZ20240514MAABOM3117,6,500,0,639
332,GJYC76,ZZ20240406CCUHYD3723,6,500,0,1487
333,GJYC76,ZZ20240421HYDIDR4122,6,1000,0,5343
334,GJYC76,ZZ20240423IDRHYD2795,6,500,0,6247
335,SJOQ59,ZZ20240406CCUHYD3723,2,500,0,1487
336,SJOQ59,ZZ20240409HYDCJB2880,2,500,0,6131
337,SJOQ59,ZZ20240505CJBHYD2679,2,500,0,7175
338,JFIP71,ZZ20240406CCUHYD3723,8,500,0,1487
339,JFIP71,ZZ20240414HYDCCU3772,8,500,0,3675
340,BIHV22,ZZ20240417CCUBLR3294,1,500,1,1035
341,VXXC26,ZZ20240423CCUBOM3274,7,500,0,2523
342,VXXC26,ZZ20240506BOMPNQ2977,7,500,0,5211
343,VXXC26,ZZ20240508PNQGOI2738,7,500,0,7559
344,KTWX91,ZZ20240406CCUHYD3723,4,500,0,1487
345,KTWX91,ZZ20240507HYDBLR2887,4,500,0,1623
346,CBUF90,ZZ20240406CCUHYD3723,9,500,0,1487
347,CBUF90,ZZ20240407HYDAMD3723,9,500,0,107
348,CBUF90,ZZ20240412AMDBLR3041,9,500,0,4731
349,CGYW26,ZZ20240423CCUBOM3274,3,500,0,2523
350,CGYW26,ZZ20240505BOMCCU3779,3,500,0,4287
351,CGYW26,ZZ20240506CCUBLR3294,3,500,0,1087
352,MZQC26,ZZ20240406CCUHYD3723,2,500,0,1487
353,MZQC26,ZZ20240507HYDBLR2887,2,1000,0,1623
354,FHTD45,ZZ20240404GOIMAA4516,2,3850,0,6048
355,BSYN33,ZZ20240404GOIMAA4516,2,5100,0,6048
356,RMWL98,ZZ20240404GOIMAA4516,2,5350,0,6048
357,PHVQ19,ZZ20240404GOIMAA4516,4,9900,0,6048
358,BOPG28,ZZ20240404GOIMAA4516,1,1050,1,6048
359,PKLV71,ZZ20240404GOIMAA4516,3,4450,0,6049
360,MDUC32,ZZ20240404GOIMAA4516,4,7700,0,6049
361,GASS41,ZZ20240404GOIMAA4516,2,5400,0,6049
362,YQOE86,ZZ20240404GOIMAA4516,1,3100,1,6049
363,EPDO33,ZZ20240404GOIMAA4516,3,4200,0,6049
364,WYFS34,ZZ20240404GOIMAA4516,4,5450,0,6049
365,UZHF25,ZZ20240404GOIMAA4516,4,6500,0,6049
366,OAVN99,ZZ20240404GOIMAA4516,1,3350,0,6049
367,YPGF74,ZZ20240404GOIMAA4516,6,8900,0,6050
368,FKGV26,ZZ20240404GOIMAA4516,1,2650,1,6050
369,RNXO34,ZZ20240404GOIMAA4516,6,4400,0,6050
370,UOYE33,ZZ20240404GOIMAA4516,4,8550,0,6050
371,WDIT18,ZZ20240404GOIMAA4516,6,10150,0,6050
372,DRFJ66,ZZ20240404GOIMAA4516,5,4850,0,6050
373,LYJB28,ZZ20240404GOIMAA4516,1,2650,1,6050
374,XZRB19,ZZ20240404GOIMAA4516,4,5300,0,6050
375,ELDY26,ZZ20240404GOIMAA4516,1,3150,0,6050
376,PJCQ50,ZZ20240404GOIMAA4516,6,6800,0,6051
377,CWBI55,ZZ20240404GOIMAA4516,5,7750,0,6051
378,HRHW62,ZZ20240404GOIMAA4516,8,10100,0,6051
379,UJOK34,ZZ20240404GOIMAA4516,9,12700,0,6051
380,TBGH28,ZZ20240404GOIMAA4516,1,1050,1,6051
381,YBYM14,ZZ20240404GOIMAA4516,5,10000,0,6051
382,QAHB17,ZZ20240404GOIMAA4516,2,3600,0,6051
383,PBDV43,ZZ20240404GOIMAA4516,3,3650,0,6051
384,HNNP37,ZZ20240404GOIMAA4516,1,1050,1,6051
385,TUJY88,ZZ20240404GOIMAA4516,1,1050,1,6051
386,RMWL98,ZZ20240502MAAHYD3027,2,1500,0,1564
387,PHVQ19,ZZ20240502MAAHYD3027,4,1500,0,1564
388,BOPG28,ZZ20240501MAAAMD2840,1,1000,1,4516
389,PKLV71,ZZ20240422MAACCU4647,3,800,0,905
390,PKLV71,ZZ20240423CCUBLR3294,3,800,0,1049
391,PKLV71,ZZ20240508BLRDEL4246,3,800,0,2445
392,MDUC32,ZZ20240408MAACJB4341,4,800,0,4997
393,MDUC32,ZZ20240505CJBHYD2679,4,800,0,7173
394,GASS41,ZZ20240422MAACCU4647,2,800,0,905
395,GASS41,ZZ20240423CCUBLR3294,2,800,0,1049
396,GASS41,ZZ20240508BLRDEL4246,2,800,0,2445
397,YQOE86,ZZ20240502MAAHYD3027,1,800,1,1565
398,YQOE86,ZZ20240504HYDDEL2294,1,800,1,4453
399,YQOE86,ZZ20240505DELBLR3152,1,800,1,1281
400,EPDO33,ZZ20240406MAATRV4122,3,800,0,7097
401,OAVN99,ZZ20240406MAATRV4122,1,800,1,7097
402,YPGF74,ZZ20240422MAACCU4647,6,1100,0,906
403,YPGF74,ZZ20240513CCUMAA4688,6,600,0,2838
404,FKGV26,ZZ20240501MAAAMD2840,1,600,1,4518
405,FKGV26,ZZ20240502AMDMAA4140,1,600,1,2330
406,RNXO34,ZZ20240406MAATRV4122,6,600,0,7098
407,UOYE33,ZZ20240502MAAHYD3027,4,600,0,1566
408,WDIT18,ZZ20240501MAAAMD2840,6,1100,0,4518
409,WDIT18,ZZ20240502AMDDEL3431,6,600,0,4634
410,WDIT18,ZZ20240503DELBLR3152,6,600,0,1278
411,DRFJ66,ZZ20240414MAABOM3117,5,600,0,586
412,DRFJ66,ZZ20240415BOMAMD4704,5,600,0,4822
413,DRFJ66,ZZ20240429AMDCCU4995,5,1100,0,2130
414,XZRB19,ZZ20240502MAAHYD3027,4,600,0,1566
415,XZRB19,ZZ20240507HYDBLR2887,4,600,0,1622
416,ELDY26,ZZ20240422MAACCU4647,1,1100,0,906
417,ELDY26,ZZ20240423CCUBOM3274,1,600,1,2522
418,ELDY26,ZZ20240424BOMDEL2019,1,600,1,3162
